,Unnamed: 0.1,Unnamed: 0,mz,rt,rt1,rt2,intensity,pic_label,score_inf,snr_inf,snr_mock,score_mock
2,2,2,521.7070632538187,1508.339412380048,1490.42415419958,1519.04840616132,1260063.365234375,1508.339412380048_521.7070632538187_1260063.365234375,0.0,5.775791431516425,0.0,0.0
4,4,4,474.7500079343261,1509.5006514628155,1501.78741613769,1519.04840616132,2332504.0556640625,1509.5006514628155_474.7500079343261_2332504.0556640625,0.0,5.955559107034032,0.0,0.0
6,6,6,405.7326041928983,1513.7872696569484,1507.67824319745,1521.90350762748,1678477.8142089844,1513.7872696569484_405.7326041928983_1678477.8142089844,0.0,6.556566515878964,0.0,
9,9,9,385.5141206335313,1509.6738217149036,1501.78741613769,1526.81259111309,816557.3251953125,1509.6738217149036_385.5141206335313_816557.3251953125,0.0,7.021625713103935,0.0,
11,11,11,561.7303452879037,1518.6519306194148,1510.4915906562903,1524.50540307903,1052464.7751464844,1518.6519306194148_561.7303452879037_1052464.7751464844,0.0,6.5740223807365,0.0,
17,17,17,490.75585736629534,1532.7206517974946,1524.50540307903,1541.32042209051,1335769.2248535156,1532.7206517974946_490.75585736629534_1335769.2248535156,0.0,6.884357398407723,0.0,0.0
18,18,18,492.7040528507745,1530.2394850061892,1519.04840616132,1539.06139210605,721595.7436523438,1530.2394850061892_492.7040528507745_721595.7436523438,1.814493217362852,7.626146038154085,0.0,0.0
22,22,22,608.3086222066153,1532.0172339925546,1524.50540307903,1541.32042209051,634839.5830688477,1532.0172339925546_608.3086222066153_634839.5830688477,0.0,6.914200238340031,0.0,
23,23,23,373.18457737561727,1534.9483922055952,1519.04840616132,1548.60452917956,3140687.552734375,1534.9483922055952_373.18457737561727_3140687.552734375,2.8630956128085456,7.1018697715757,0.0,0.0
24,24,24,404.1911746182338,1531.701649074603,1501.78741613769,1554.4364536180503,695744.6159667969,1531.701649074603_404.1911746182338_695744.6159667969,0.0,7.098543989979562,1.172269704706698,0.0
27,27,27,556.2479293264677,1539.8077222742431,1531.63724771883,1551.46992818259,842425.7397460938,1539.8077222742431_556.2479293264677_842425.7397460938,1.2171915515784124,6.786555054454155,0.0,
